sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.3408;-1.1109;-2.3367;10.0;-29.04;-12.3;9.24;253.87;22.41;150.15;3.5;33.046;;;;NaN;;;;0 / 0;91540;2018-11-07 21:04:55:598
6.0525;16.702;-8.0445;10.0;-30.48;-15.54;4.8;275.18;-59.56;-166.95;3.5;37.896;;;;NaN;;;;0 / 0;92040;2018-11-07 21:04:56:098
2.8347;13.7906;-0.8428;10.0;-25.5;-20.28;7.44;324.95;-70.28;-130.33;3.5;33.258;;;;NaN;;;;0 / 0;92539;2018-11-07 21:04:56:597
-0.2298;9.5385;-1.1492;10.0;-9.96;-23.94;16.26;83.25;-66.11;-95.76;3.5;36.525;;;;NaN;;;;0 / 0;93040;2018-11-07 21:04:57:098
2.5666;6.857;-0.1149;40.0;2.22;-27.12;9.84;123.03;-72.4;-115.06;3.5;29.988;;;;NaN;;;;0 / 0;93540;2018-11-07 21:04:57:598
-0.3831;0.8811;-1.1875;10.0;10.68;-28.14;-1.08;200.29;-27.51;-180.0;3.5;25.66;;;;NaN;;;;0 / 0;94039;2018-11-07 21:04:58:097
2.5666;9.73;-6.7804;10.0;9.84;-27.6;-6.84;167.67;-66.34;-144.21;3.5;35.317;;;;NaN;;;;0 / 0;94539;2018-11-07 21:04:58:597
0.1532;14.7483;-2.1452;10.0;16.44;-23.7;-7.38;126.64;-81.7;-175.91;3.5;38.726;;;;NaN;;;;0 / 0;95040;2018-11-07 21:04:59:098
3.6392;9.73;-1.4557;10.0;13.98;-23.64;-7.56;186.69;-65.16;-109.49;3.5;36.785;;;;NaN;;;;0 / 0;95539;2018-11-07 21:04:59:597
3.7541;2.9497;-2.6815;10.0;7.68;-12.18;23.04;110.12;-53.81;-103.93;3.5;33.019;;;;NaN;;;;0 / 0;96039;2018-11-07 21:05:00:097
0.8045;-0.5746;-0.498;10.0;-25.02;-8.46;17.34;8.12;-59.44;-120.96;3.5;27.337;;;;NaN;;;;0 / 0;96540;2018-11-07 21:05:00:598
5.9759;9.0022;-6.6655;10.0;-29.88;-12.0;4.98;284.51;-48.8;-151.42;3.5;27.084;;;;NaN;;;;0 / 0;97040;2018-11-07 21:05:01:098
4.367;12.4115;-3.5626;10.0;-27.18;-18.06;0.54;306.79;-65.58;-129.21;3.5;31.528;;;;NaN;;;;0 / 0;97539;2018-11-07 21:05:01:597
2.988;11.2623;-0.3831;10.0;-31.68;-15.54;-3.24;344.93;-75.03;-97.31;3.5;37.813;;;;NaN;;;;0 / 0;98039;2018-11-07 21:05:02:097
2.2601;6.359;0.5746;10.0;-27.72;-19.86;-1.02;17.49;-69.86;-75.74;3.5;34.659;;;;NaN;;;;0 / 0;98540;2018-11-07 21:05:02:598
2.3367;6.9719;-3.6009;10.0;-24.36;-22.8;-16.62;246.01;-58.38;-147.02;3.5;27.805;;;;NaN;;;;0 / 0;99039;2018-11-07 21:05:03:097
4.5586;12.2966;-4.0606;10.0;-7.08;-28.32;-20.34;224.86;-63.6;-131.69;3.5;33.677;;;;NaN;;;;0 / 0;99539;2018-11-07 21:05:03:597
5.861;10.9176;-1.3024;10.0;12.18;-28.74;-10.14;182.26;-73.12;-126.43;3.5;27.109;;;;NaN;;;;0 / 0;100039;2018-11-07 21:05:04:097
3.2944;10.3046;-1.494;10.0;9.06;-28.86;1.86;169.72;-64.62;-100.75;3.5;36.386;;;;NaN;;;;0 / 0;100540;2018-11-07 21:05:04:598
2.49;7.4316;-0.1149;10.0;12.72;-25.86;8.58;154.59;-71.46;-92.64;3.5;32.141;;;;NaN;;;;0 / 0;101039;2018-11-07 21:05:05:097
-0.6129;4.9416;0.0766;10.0;13.98;-23.76;8.1;297.13;-81.07;69.15;3.5;25.983;;;;NaN;;;;0 / 0;101540;2018-11-07 21:05:05:598
2.2218;7.7381;-3.4093;10.0;11.22;-22.08;11.76;128.06;-55.68;-131.07;3.5;34.167;;;;NaN;;;;0 / 0;102039;2018-11-07 21:05:06:097
8.1211;11.224;-2.6049;10.0;11.28;-19.98;12.9;137.67;-52.77;-107.78;3.5;27.557;;;;NaN;;;;0 / 0;102539;2018-11-07 21:05:06:597
3.0646;10.9559;-1.8387;40.0;-0.54;-16.92;21.0;67.99;-73.73;-125.41;3.5;28.241;;;;NaN;;;;0 / 0;103040;2018-11-07 21:05:07:098
4.0606;8.7724;-1.5323;10.0;-24.54;-11.7;14.58;14.33;-63.68;-110.67;3.5;25.075;;;;NaN;;;;0 / 0;103539;2018-11-07 21:05:07:597
1.8004;7.5848;0.3065;10.0;-28.92;-15.78;0.78;358.59;-70.15;-93.05;3.5;30.802;;;;NaN;;;;0 / 0;104039;2018-11-07 21:05:08:097
2.49;3.7541;0.2682;10.0;-29.04;-17.4;-6.78;344.33;-60.84;-85.86;3.5;30.472;;;;NaN;;;;0 / 0;104539;2018-11-07 21:05:08:597
4.1755;8.0062;-3.5243;10.0;-27.18;-20.58;-6.66;273.28;-58.84;-139.16;3.5;25.962;;;;NaN;;;;0 / 0;105039;2018-11-07 21:05:09:097
3.9073;16.1273;-6.5505;10.0;-28.32;-19.38;-8.64;248.4;-53.67;-163.27;3.5;37.731;;;;NaN;;;;0 / 0;105539;2018-11-07 21:05:09:597
7.3933;11.4922;-2.1452;10.0;-23.64;-23.52;-13.8;277.22;-56.18;-106.18;3.5;35.143;;;;NaN;;;;0 / 0;106039;2018-11-07 21:05:10:097
3.8307;8.8873;-1.6089;10.0;-17.04;-25.5;-17.34;265.23;-66.52;-113.46;3.5;35.724;;;;NaN;;;;0 / 0;106539;2018-11-07 21:05:10:597
3.6392;7.2401;-1.0343;10.0;2.22;-30.3;-12.54;210.68;-66.91;-114.86;3.5;27.748;;;;NaN;;;;0 / 0;107039;2018-11-07 21:05:11:097
1.6472;7.853;-1.4557;10.0;14.7;-28.32;1.5;161.87;-70.56;-115.5;3.5;26.516;;;;NaN;;;;0 / 0;107539;2018-11-07 21:05:11:597
1.6855;7.0868;-2.4517;10.0;10.86;-27.06;6.18;148.16;-82.83;-99.46;3.5;32.6;;;;NaN;;;;0 / 0;108040;2018-11-07 21:05:12:098
3.3327;14.8249;-4.1372;10.0;11.52;-24.24;10.62;129.35;-58.28;-136.66;3.5;27.267;;;;NaN;;;;0 / 0;108539;2018-11-07 21:05:12:597
5.5929;12.8329;-1.6855;10.0;9.54;-25.8;6.6;151.48;-65.53;-106.77;3.5;29.29;;;;NaN;;;;0 / 0;109044;2018-11-07 21:05:13:102
1.5706;8.3893;-2.6049;10.0;10.8;-24.3;9.48;114.04;-70.07;-148.91;3.5;22.47;;;;NaN;;;;0 / 0;109539;2018-11-07 21:05:13:597
2.6432;8.8107;-4.9033;40.0;9.9;-23.88;10.14;124.74;-57.7;-151.67;3.5;29.194;;;;NaN;;;;0 / 0;110039;2018-11-07 21:05:14:097
1.4174;9.2703;-2.6432;10.0;16.38;-23.4;6.84;118.8;-72.88;-147.99;3.5;22.967;;;;NaN;;;;0 / 0;110540;2018-11-07 21:05:14:598
2.7198;9.4619;-1.7621;10.0;15.6;-24.9;7.14;125.04;-75.51;-137.49;3.5;17.222;;;;NaN;;;;0 / 0;111039;2018-11-07 21:05:15:097
5.4013;12.7946;-1.8004;10.0;10.2;-24.72;11.52;136.87;-67.26;-105.52;3.5;21.653;;;;NaN;;;;0 / 0;111540;2018-11-07 21:05:15:598
-0.0383;0.1915;-3.0263;10.0;11.4;-25.56;2.76;156.83;3.57;-176.42;3.5;39.439;;;;NaN;;;;0 / 0;112039;2018-11-07 21:05:16:097
0.2298;-3.0646;-0.996;10.0;13.32;-25.44;3.48;183.29;73.9;98.13;3.5;40.151;;;;NaN;;;;0 / 0;112539;2018-11-07 21:05:16:597
7.6614;19.5367;-4.6735;10.0;11.88;-26.16;2.46;159.47;-67.52;-116.44;3.5;29.524;;;;NaN;;;;0 / 0;113039;2018-11-07 21:05:17:097
-0.5746;1.6089;-1.992;10.0;12.12;-25.02;4.26;145.84;-37.81;163.91;3.5;27.657;;;;NaN;;;;0 / 0;113540;2018-11-07 21:05:17:598
0.1532;0.7661;-1.992;10.0;11.4;-23.76;3.6;150.63;-20.98;-175.6;3.5;32.81;;;;NaN;;;;0 / 0;114039;2018-11-07 21:05:18:097
2.2984;5.0949;-3.9456;10.0;10.92;-22.92;8.52;153.71;-63.83;-97.56;3.5;29.988;;;;NaN;;;;0 / 0;114539;2018-11-07 21:05:18:597
2.1069;10.0365;-0.8428;10.0;13.5;-20.64;9.54;114.46;-80.31;-130.6;3.5;27.751;;;;NaN;;;;0 / 0;115040;2018-11-07 21:05:19:098
2.5666;8.4659;-2.0686;10.0;16.62;-22.32;1.44;149.88;-68.73;-128.87;3.5;26.703;;;;NaN;;;;0 / 0;115539;2018-11-07 21:05:19:597
0.6512;9.2703;-3.6392;10.0;10.68;-26.52;-13.44;160.18;-68.26;-169.85;3.5;28.931;;;;NaN;;;;0 / 0;116039;2018-11-07 21:05:20:097
2.2984;11.1474;-2.2984;10.0;-10.2;-20.58;-24.36;205.38;-54.27;-164.6;3.5;20.859;;;;NaN;;;;0 / 0;116539;2018-11-07 21:05:20:597
2.4134;9.3087;-0.4214;10.0;-29.76;-10.08;-10.62;310.52;-73.68;-113.5;3.5;31.612;;;;NaN;;;;0 / 0;117040;2018-11-07 21:05:21:098
0.8811;9.0022;-1.8004;10.0;-30.12;-8.76;3.72;303.95;-75.82;-147.38;3.5;25.235;;;;NaN;;;;0 / 0;117539;2018-11-07 21:05:21:597
1.6089;8.8107;-3.6009;10.0;-27.6;-11.94;8.4;298.76;-63.87;-154.58;3.5;24.47;;;;NaN;;;;0 / 0;118039;2018-11-07 21:05:22:097
0.1532;0.1532;-4.7118;10.0;-30.3;-9.78;8.4;297.08;-58.41;-154.18;3.5;26.255;;;;NaN;;;;0 / 0;118539;2018-11-07 21:05:22:597
8.4659;14.6717;-6.1675;10.0;-26.76;-16.38;8.58;277.94;-57.65;-168.49;3.5;37.564;;;;NaN;;;;0 / 0;119039;2018-11-07 21:05:23:097
4.6735;11.6071;-0.1149;10.0;-29.94;-17.82;-1.26;337.47;-75.02;-106.5;3.5;32.59;;;;NaN;;;;0 / 0;119540;2018-11-07 21:05:23:598
1.9537;7.6614;0.0;10.0;-24.48;-24.3;-8.58;314.88;-70.23;-99.46;3.5;29.818;;;;NaN;;;;0 / 0;120040;2018-11-07 21:05:24:098
0.8428;6.0525;-1.9154;10.0;-14.16;-29.4;-13.32;251.42;-77.03;-139.57;3.5;31.83;;;;NaN;;;;0 / 0;120539;2018-11-07 21:05:24:597
0.7661;4.2138;-2.375;10.0;5.28;-30.42;-8.82;175.34;-59.36;-162.12;3.5;41.369;;;;NaN;;;;0 / 0;121040;2018-11-07 21:05:25:098
3.984;14.6334;-5.5929;10.0;16.32;-26.46;0.9;143.97;-64.86;-144.54;3.5;28.198;;;;NaN;;;;0 / 0;121540;2018-11-07 21:05:25:598
3.5243;13.1777;-1.0726;10.0;8.82;-27.66;3.0;159.88;-74.38;-106.93;3.5;34.018;;;;NaN;;;;0 / 0;122040;2018-11-07 21:05:26:098
0.8811;9.0022;0.6129;10.0;8.7;-24.54;10.32;170.55;-76.08;-55.38;3.5;34.876;;;;NaN;;;;0 / 0;122540;2018-11-07 21:05:26:598
0.1532;1.1492;0.3065;10.0;9.84;-25.8;5.58;149.28;-39.55;-169.43;3.5;31.678;;;;NaN;;;;0 / 0;123039;2018-11-07 21:05:27:097
5.8993;19.3068;-1.4557;10.0;11.76;-27.18;0.36;169.45;-70.15;-103.51;3.5;30.639;;;;NaN;;;;0 / 0;123540;2018-11-07 21:05:27:598
7.4699;19.2685;-5.7844;10.0;10.38;-27.0;1.44;159.44;-63.88;-127.75;3.5;37.113;;;;NaN;;;;0 / 0;124046;2018-11-07 21:05:28:104
-0.3065;-0.2298;0.7661;10.0;8.28;-26.28;5.4;201.58;-25.2;28.07;3.5;39.883;;;;NaN;;;;0 / 0;124543;2018-11-07 21:05:28:601
5.5545;19.5367;-2.0303;10.0;11.58;-27.18;6.3;154.01;-67.04;-107.51;3.5;33.28;;;;NaN;;;;0 / 0;125040;2018-11-07 21:05:29:098
7.2401;19.5367;-0.0383;10.0;3.3;-23.58;14.46;52.91;-81.92;-150.36;3.5;27.836;;;;NaN;;;;0 / 0;125540;2018-11-07 21:05:29:598
-0.0383;3.486;-5.6695;10.0;12.54;-22.62;9.66;30.21;-76.34;147.41;3.5;35.881;;;;NaN;;;;0 / 0;126040;2018-11-07 21:05:30:098
6.0908;18.4258;-6.4739;40.0;12.72;-13.86;17.58;96.02;-64.25;-136.75;3.5;43.356;;;;NaN;;;;0 / 0;126539;2018-11-07 21:05:30:597
0.1532;-0.2298;-0.0383;40.0;11.1;-11.58;18.42;251.75;-33.76;74.93;3.5;49.381;;;;NaN;;;;0 / 0;127041;2018-11-07 21:05:31:099
1.8387;5.8227;-1.9537;40.0;7.44;-8.76;22.92;68.44;-69.55;-143.43;3.5;33.775;;;;NaN;;;;0 / 0;127539;2018-11-07 21:05:31:597
3.5626;8.1977;-3.9073;10.0;-18.24;4.86;26.22;17.52;-55.5;-129.15;3.5;41.329;;;;NaN;;;;0 / 0;128040;2018-11-07 21:05:32:098
3.5243;7.6998;-5.1715;10.0;-27.96;2.34;13.26;324.08;-50.9;-145.73;0.0;36.882;;;;NaN;;;;0 / 0;128540;2018-11-07 21:05:32:598
1.8771;8.5425;2.6815;10.0;-26.04;-3.72;-13.32;27.74;-68.79;-38.66;0.0;36.533;;;;NaN;;;;0 / 0;129040;2018-11-07 21:05:33:098
2.2218;9.3087;0.9577;10.0;-24.36;-4.32;-16.14;348.89;-75.43;-66.68;3.5;28.921;;;;NaN;;;;0 / 0;129539;2018-11-07 21:05:33:597
2.2601;9.5002;0.8811;10.0;-24.6;-4.38;-15.36;348.08;-75.4;-70.17;3.5;16.332;;;;NaN;;;;0 / 0;130039;2018-11-07 21:05:34:097
2.3367;9.1554;1.8387;10.0;-24.24;-2.7;-18.6;357.6;-71.64;-53.86;3.5;24.096;;;;NaN;;;;0 / 0;130539;2018-11-07 21:05:34:597
3.0263;8.849;2.4517;10.0;-26.28;1.14;-20.58;359.26;-64.51;-51.75;0.0;34.016;;;;NaN;;;;0 / 0;131039;2018-11-07 21:05:35:097
3.6392;11.0708;1.4174;10.0;-26.7;-1.2;-16.56;349.63;-65.77;-67.14;3.5;26.861;;;;NaN;;;;0 / 0;131540;2018-11-07 21:05:35:598
8.0828;7.3167;1.6472;10.0;-24.48;4.2;-25.62;315.97;-47.7;-81.71;3.5;56.011;;;;NaN;;;;0 / 0;132039;2018-11-07 21:05:36:097
1.6855;3.4093;9.347;10.0;9.48;36.06;-45.9;340.71;-19.75;-10.22;3.5;27.817;;;;NaN;;;;0 / 0;132539;2018-11-07 21:05:36:597
0.5363;2.1835;9.1554;10.0;16.8;36.6;-43.74;336.95;-13.39;-3.35;3.5;26.191;;;;NaN;;;;0 / 0;133039;2018-11-07 21:05:37:097
-1.992;1.0343;9.5385;40.0;39.72;30.18;-32.58;316.46;-6.06;11.8;3.5;17.514;;;;NaN;;;;0 / 0;133540;2018-11-07 21:05:37:598
-2.9113;0.6129;9.9982;40.0;39.66;30.06;-32.52;318.05;-3.37;16.23;3.5;14.676;;;;NaN;;;;0 / 0;134040;2018-11-07 21:05:38:098
-1.6472;0.3831;9.6917;40.0;38.46;28.8;-33.84;313.15;-3.19;8.94;3.5;14.332;;;;NaN;;;;0 / 0;134540;2018-11-07 21:05:38:598
-1.5706;1.0343;9.7683;10.0;38.22;27.12;-33.42;313.66;-5.41;9.54;3.5;14.552;;;;NaN;;;;0 / 0;135039;2018-11-07 21:05:39:097
-0.9577;1.1492;9.3853;40.0;36.24;26.58;-35.04;314.27;-6.95;5.83;3.5;16.377;;;;NaN;;;;0 / 0;135539;2018-11-07 21:05:39:597
